country,year,prev,democracy
Peru,1981,0.0,1
Peru,1992,1.0,0
Peru,2001,0.0,1
Poland,1990,0.0,1
Portugal,1976,0.0,1
Romania,1990,0.0,1
Sao Tome and Principe,1991,0.0,1
Senegal,1990,0.0,1
Serbia,2001,0.0,1
Serbia,2014,1.0,0
Seychelles,2015,0.0,1
Sierra Leone,2003,0.0,1
Sierra Leone,2023,1.0,0
Slovenia,1990,0.0,1
Solomon Islands,1979,0.0,1
Solomon Islands,2000,1.0,0
Solomon Islands,2002,0.0,1
Solomon Islands,2006,1.0,0
Solomon Islands,2007,0.0,1
South Africa,1995,0.0,1
South Korea,1988,0.0,1
Spain,1978,0.0,1
Sri Lanka,1983,1.0,0
Sri Lanka,1995,0.0,1
Sri Lanka,2000,1.0,0
Sri Lanka,2002,0.0,1
Sri Lanka,2005,1.0,0
Sri Lanka,2015,0.0,1
Suriname,1955,0.0,1
Suriname,1975,1.0,0
Suriname,1976,0.0,1
Suriname,1980,1.0,0
Suriname,1988,0.0,1
Suriname,1991,1.0,0
Suriname,1992,0.0,1
Taiwan,1996,0.0,1
Thailand,1998,0.0,1
Thailand,2006,1.0,0
Trinidad and Tobago,1962,0.0,1
Tunisia,2012,0.0,1
Tunisia,2022,1.0,0
Turkey,1966,0.0,1
Turkey,1971,1.0,0
Turkey,1973,0.0,1
Turkey,1980,1.0,0
Turkey,1990,0.0,1
Turkey,2013,1.0,0
Ukraine,1994,0.0,1
Ukraine,1998,1.0,0
Ukraine,2006,0.0,1
Ukraine,2010,1.0,0
Ukraine,2019,0.0,1
Ukraine,2022,1.0,0
Uruguay,1972,1.0,0
Uruguay,1985,0.0,1
Vanuatu,1980,0.0,1
Venezuela,1959,0.0,1
Venezuela,2002,1.0,0
Zambia,2007,0.0,1
Zambia,2013,1.0,0
Zambia,2022,0.0,1
Zambia,2025,1.0,0
